44483,2,9,124,46978,46978,1488412,-2397226,1447070,-2362648,1518799,-2424701,NULL,20:東部導管_40:北部導管,NULL,NULL,NULL,NULL,NULL
44484,2,10,105,4783,4783,1569349,-2426261,1539989,-2410687,1583370,-2454050,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44485,2,11,4,15982,15982,1395824,-2437782,1368339,-2429143,1423160,-2450270,NULL,40:北部導管,NULL,NULL,NULL,NULL,NULL
44486,2,12,4,48947,48947,1378331,-2444354,1356040,-2430024,1402695,-2456399,NULL,40:北部導管,NULL,NULL,NULL,1,NULL
44487,2,13,6,74424,74424,1388995,-2466790,1364045,-2452360,1413946,-2481219,NULL,40:北部導管,NULL,NULL,NULL,NULL,NULL
44488,2,14,17,56196,56196,1412236,-2483589,1397989,-2475896,1427306,-2500583,NULL,40:北部導管,NULL,NULL,NULL,NULL,NULL
44489,2,15,68,23253,23253,1371992,-2457362,1357319,-2445509,1386762,-2466794,NULL,40:北部導管,NULL,NULL,NULL,NULL,NULL
44490,2,16,139,58458,58458,1501529,-2572970,1486107,-2557854,1516951,-2588086,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44491,2,17,41,3974,3974,1517632,-2371838,1499655,-2351149,1535609,-2392526,NULL,20:東部導管,1,NULL,NULL,1,NULL
44492,2,18,89,5912,5912,1524141,-2398427,1506854,-2374976,1541429,-2421878,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44493,2,19,18,14107,14107,1551213,-2371284,1534668,-2358855,1577377,-2402643,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44494,2,20,126,4958,4958,1572365,-2366895,1553852,-2354896,1586602,-2380960,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44495,2,21,122,20716,20716,1538452,-2531796,1527803,-2520143,1549101,-2543449,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44496,2,22,82,6939,6939,1505416,-2500467,1497447,-2495612,1511114,-2505721,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44497,2,23,45,6003,6003,1544401,-2551947,1539153,-2540307,1549649,-2563586,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44498,2,24,129,30920,30920,1591312,-2548480,1574534,-2531468,1608090,-2565492,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44499,2,25,60,34993,34993,1584047,-2520553,1565786,-2501469,1602308,-2539636,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44500,2,26,61,27199,27199,1560105,-2449627,1537701,-2433436,1582509,-2465818,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44501,2,27,125,36996,36996,1551529,-2600953,1537964,-2570829,1576732,-2632996,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44502,2,28,141,40469,40469,1560203,-2554931,1544451,-2537733,1575955,-2572128,NULL,20:東部導管,1,,NULL,NULL,NULL
44503,2,29,30,27101,27101,1550092,-2508255,1534399,-2488122,1565786,-2528387,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44504,2,30,28,78164,78164,1473386,-2556080,1458693,-2544077,1492076,-2595036,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44505,2,31,50,38153,38153,1510824,-2606370,1487500,-2578284,1538366,-2645866,NULL,20:東部導管,NULL,新木場(K2L31),NULL,1,NULL
44506,2,32,12,8953,8953,1482370,-2628127,1465012,-2586738,1517498,-2674149,NULL,20:東部導管_10:南部導管,NULL,有明(K2L32),NULL,NULL,NULL
44507,2,33,63,674,674,1504409,-2368274,1498530,-2362607,1510289,-2373940,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
